tweet;nb_com;nb_rt;nb_like
If big artists didn’t claim youtubers we’d use their music in videos and make memes out of them! If I played a song for 5 seconds it’s not going to stop them from buying your music but it will get 10,000,000+ people interested in the song. Idk but seems like a missed opportunity.;345;903;43100
I find it interesting that music artists will let their song be used on tik tok but if I say two words from their song in the wrong tone of voice they try to claim my YouTube video.;1200;3600;112000
It’s you and 3 other people in a circle and the last to leave gets $100,000. How long you staying?;42600;5500;109100
Zealous is #1 trending and almost on 1,400,000 subscribers in under a day! This is literally insane ;987;993;45600
Or we do it with big Youtubers for 10 million dollars and the winner has to give the money to their subscribers. Idk but giant epic battle royal on a private island sounds dope;1600;1100;61100
(Brainstorming ideas) What if we put 100 small Youtubers on a giant private island and did a battle royal of some sort? Last remaining hypothetically gets a shout out lol;7600;3700;123200
I just want to make sure I do it right. Walking into random hospital rooms and just shoving a camera in people’s face feels weird! I’ll brainstorm something we could do to make it a win win.;805;1200;75200
Since you guys have been relentlessly spamming this for a month now, I’ll do it :);2200;12100;170000
Someone help, it’s 2 AM;698;313;22800
Zealous is #1 trending and almost on 1,400,000 subscribers in under a day! This is literally insane ;987;993;45600
Or we do it with big Youtubers for 10 million dollars and the winner has to give the money to their subscribers. Idk but giant epic battle royal on a private island sounds dope;1600;1100;61100
(Brainstorming ideas) What if we put 100 small Youtubers on a giant private island and did a battle royal of some sort? Last remaining hypothetically gets a shout out lol;7600;3700;123200
I just want to make sure I do it right. Walking into random hospital rooms and just shoving a camera in people’s face feels weird! I’ll brainstorm something we could do to make it a win win.;805;1200;75200
Since you guys have been relentlessly spamming this for a month now, I’ll do it :);2200;12100;170000
Someone help, it’s 2 AM;698;313;22800
I have a problem, I literally can’t stop thinking about this. I’m so excited that I physically can’t sleep lol;139;242;20800
It’s not up yet! Waiting until I have the food bank and the proper paperwork. I want it to be a legit charity and I also want to make sure I have proper transparency so people know without a shadow of a doubt 100% of all rev goes towards helping people.;92;140;8400
If we could grow the charity channel to a similar size as the gaming channel... ;101;178;10200
I’m so excited to open this Food Bank  soon and fire up the charity vlog (100% of all rev from the channel will go towards running my food bank and opening more!!) I’m DYING to see how big we can grow this :);740;1800;54400
He is over a million now!;394;262;20200
It’s been 2 hours and the winner of the small youtuber challenge already has 400,000 subscribers! I can’t wait to see what he does with them :D;1400;1100;70700
4 small youtubers put their hand on my diamond play button and the last to remove it got a massive shout out! Go watch the new video and support the winner!;781;843;44900
@ChrisO2_  @ChandlerHallow  @KarlJacobs_  let’s get swole as a joke boyz;218;278;27000
Me, Chris, Chandler, and Karl are going to lift everyday for 100 days. (Only Chris has actually agreed so far but I’m tweeting this so Chan and Karl feel peer pressured to join us lol);1200;1900;92600
Before you die you will on average walk 110,000 miles and the earth is 25,000 miles at the equator. So you could have walked around the world 4 and a half times before you die but you won’t. I’m disappointed in you.;3000;4200;100900
This Saturday’s video is insane! I had 4 small youtubers put their hand on my diamond play button and the last one to remove their hand got a shoutout..  How many subs do you think the winner will get on Saturday? ;2000;1100;56900
My right hand is done. I had to learn how to sign with my left to keep going  I will sign them all like I said!!!;382;305;28000
I’ve literally signed shirts for 10 days and I’m still not done LOL. It’s worth it though because this 40 mil subscriber special they are funding is epic :);717;921;50100
Me, Karl, and Chris already know what we want. Any idea what chandler should get? Lol;2700;343;24200
If the gaming channel hits 10 million subscribers before the end of the year me and the boys will each get a tattoo!;987;1300;39300
This Instagram account and this Facebook account is not me. I will ALWAYS do giveaways on my verified social medias only. If it’s not verified, it’s not me. Never trust friend requests or messages from non verified MrBeast accounts.;1200;2400;49100
 BIDDING IS FINISHED  THE WINNERS ARE: @G2esports  @Ninja  @AimLab  @MrBeastYT    With a combined donation of $1,000,000 for  @SpecialEffect    Probably the spiciest team up since The Avengers??????;1000;3900;48900
